ID;parque;idade;sexo;cidade;estadocivil;escolar;ocupacao;renda;qdepend;objetivo;freqvis;infraestrutura;tamanho;sombra;temperatura;lance1;resp1;lance2;resp2;bidl;bidh
227;santosdumont;35;1;recife;2;22;1;7000;1;4;3;4;4;4;4;15;1;56;1;4;56
228;santosdumont;65;1;recife;4;20;3;12000;1;3;4;4;4;3;4;9;1;19;1;3;19
229;santosdumont;50;1;recife;2;20;1;5000;1;4;1;4;4;3;3;26;0;10;1;10;31
230;santosdumont;51;2;recife;2;22;1;7000;2;7;5;5;5;0;5;43;1;64;1;7;64
231;santosdumont;30;2;recife;1;20;6;2000;0;2;5;4;5;3;4;44;1;54;1;7;54
232;santosdumont;28;2;recife;1;16;6;1200;1;4;12;3;5;2;2;46;0;27;1;27;53
233;santosdumont;28;1;recife;1;16;0;150;0;3;30;3;0;5;5;22;0;1;1;1;27
234;santosdumont;46;2;recife;3;16;6;2000;0;4;5;3;5;5;4;27;0;23;0;23;32
235;santosdumont;25;2;recife;1;22;1;3600;0;1;2;5;4;3;4;16;1;37;1;4;37
236;santosdumont;41;2;recife;2;19;6;6000;0;3;6;5;5;5;4;46;0;16;0;16;53
237;santosdumont;36;1;recife;1;16;6;4000;1;2;10;4;5;4;4;30;0;3;1;3;35
238;santosdumont;33;2;recife;2;7;4;1000;3;4;5;4;4;4;4;48;1;68;1;7;68
239;santosdumont;46;2;recife;1;16;6;800;0;3;4;5;4;5;4;41;1;66;1;6;66
240;santosdumont;53;3;recife;2;20;2;2500;0;3;5;5;5;4;3;10;1;59;0;3;59
241;santosdumont;27;2;recife;1;22;6;2500;1;7;5;4;4;3;4;6;1;18;1;2;18
242;santosdumont;49;1;recife;1;20;6;2000;0;2;26;3;4;3;3;53;1;54;0;7;54
243;santosdumont;63;2;recife;3;16;3;6000;0;4;1;5;5;4;4;57;0;5;1;5;65
244;santosdumont;33;2;recife;2;22;2;3000;0;7;30;4;4;4;4;23;1;38;1;5;38
245;santosdumont;54;1;recife;1;10;3;900;0;3;30;3;4;4;4;16;1;44;0;4;44
246;santosdumont;27;1;recife;1;12;1;4000;2;4;1;5;5;5;5;13;1;51;0;4;51
247;santosdumont;43;1;recife;1;22;6;2000;1;4;1;3;5;3;3;21;1;23;1;5;23
248;santosdumont;32;2;recife;2;22;2;1800;2;4;1;4;4;4;4;31;1;55;0;6;55
249;santosdumont;47;1;recife;2;22;7;8000;1;4;2;4;5;5;4;46;1;58;1;7;58
250;santosdumont;45;2;jaboatao;1;22;2;1500;0;2;1;4;4;3;3;65;0;13;0;13;73
251;santosdumont;49;3;jaboatao;1;22;1;2000;0;2;1;4;4;3;4;61;0;56;0;56;69
252;santosdumont;63;1;recife;2;22;3;6000;2;3;4;1;2;3;3;2;1;4;0;1;4
253;santosdumont;19;1;jaboatao;1;16;2;980;0;6;20;5;5;5;3;35;1;62;0;6;62
254;santosdumont;20;2;jaboatao;1;16;2;1150;0;7;2;5;5;4;4;45;1;49;0;7;49
255;santosdumont;19;1;recife;1;16;2;1300;0;7;1;5;5;3;4;34;1;36;1;6;36
256;santosdumont;77;2;garanhuns;4;10;3;980;0;4;1;4;4;4;4;41;0;30;1;30;47
257;santosdumont;41;1;recife;2;22;2;7000;2;3;6;3;5;3;3;32;1;34;1;6;34
258;santosdumont;40;2;recife;2;20;2;6000;0;7;2;4;4;3;4;10;1;28;0;3;28
259;santosdumont;65;2;recife;4;13;3;2000;3;6;4;5;5;5;4;47;1;62;1;7;62
260;santosdumont;36;2;recife;2;16;6;3000;3;4;8;4;4;5;5;58;1;66;1;8;66
261;santosdumont;62;1;recife;2;22;7;30000;1;2;10;3;4;4;4;6;1;23;1;2;23
262;santosdumont;51;2;recife;2;18;7;1000;0;7;2;5;2;4;4;33;0;7;0;7;39
263;santosdumont;34;1;recife;2;22;6;20000;2;4;1;4;4;5;4;47;1;50;1;7;50
264;santosdumont;41;1;recife;2;22;2;10000;1;4;1;3;5;3;3;24;0;4;1;4;29
265;santosdumont;37;2;recife;1;16;2;1200;2;3;24;5;5;5;4;19;1;28;0;4;28
266;santosdumont;59;2;recife;2;16;3;2900;0;7;8;5;4;3;4;9;1;23;0;3;23
